idPlayer,nomePlayer,team_id,team_name,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,clube_nome
66176,Dudu,1361,Atlético-GO,"{'A': 1, 'CA': 1, 'DS': 7, 'FC': 6, 'FF': 1, 'FS': 2, 'I': 1, 'PI': 32}",97133.0,8.0,373,2.0,5.0,0.0,7.58,0.0,2.27,4.0,2.08,dudu,Dudu,Dudu,Luís Eduardo Marques dos Santos,https://s.glbimg.com/es/sde/f/2022/03/03/b0bce50f61a2478463da6058f9be7677_FORMATO.png,Atlético-GO
50802,Marlon Freitas,1361,Atlético-GO,"{'CA': 1, 'DS': 19, 'FC': 6, 'FD': 3, 'FF': 3, 'G': 1, 'GC': 1, 'I': 1, 'PI': 62}",93790.0,8.0,373,4.0,7.0,0.0,6.07,-0.22,3.08,8.0,0.93,marlon-freitas,Marlon Freitas,M. Freitas,Marlon Rodrigues Freitas,https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png,Atlético-GO
63656,Jefferson,1361,Atlético-GO,"{'DS': 10, 'FC': 6, 'FD': 1, 'FF': 3, 'FS': 5, 'PI': 55, 'SG': 1}",95220.0,8.0,373,2.0,7.0,0.0,3.42,-0.48,1.98,8.0,1.07,jefferson,Jefferson,Jefferson,Jefferson Junio Antônio da Silva,https://s.glbimg.com/es/sde/f/2022/03/03/80467cde6b46e7d96a9fc9fa200520fa_FORMATO.png,Atlético-GO
33213,Wanderson,1361,Atlético-GO,"{'DS': 5, 'FC': 7, 'FF': 2, 'FS': 3, 'PI': 20, 'SG': 1}",86143.0,8.0,373,3.0,6.0,0.0,2.69,-0.91,1.43,7.0,-0.22,wanderson,Wanderson,Wanderson,Wanderson Santos Pereira,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png,Atlético-GO
75379,Léo Pereira,1361,Atlético-GO,"{'A': 1, 'CA': 3, 'DS': 13, 'FC': 12, 'FD': 4, 'FF': 1, 'FS': 11, 'FT': 1, 'I': 1, 'PI': 36}",106681.0,8.0,373,5.0,6.0,0.0,6.97,0.58,3.49,7.0,3.79,leo-pereira,Léo Pereira,L. Pereira,Leonardo Augusto dos Santos Pereira,https://s.glbimg.com/es/sde/f/2022/03/03/b6e2734629454f1ee92d354283343741_FORMATO.png,Atlético-GO
51483,Luan Polli,1361,Atlético-GO,"{'DE': 9, 'FS': 1, 'GS': 5}",88916.0,8.0,373,1.0,6.0,0.0,5.03,0.0,2.25,2.0,2.08,luan-polli,Luan Polli,L. Polli,Luan Polli Gomes,https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png,Atlético-GO
42737,Wellington Rato,1361,Atlético-GO,"{'DS': 4, 'FC': 1, 'FD': 6, 'FF': 10, 'FS': 8, 'G': 1, 'I': 2, 'PI': 47}",82766.0,8.0,373,4.0,7.0,0.0,9.64,0.53,3.35,8.0,4.19,wellington-rato,Wellington Rato,W. Rato,Wellington Soares da Silva,https://s.glbimg.com/es/sde/f/2022/03/03/f1c021275405991e817f4277af535a6a_FORMATO.png,Atlético-GO
61424,Shaylon,1361,Atlético-GO,"{'DS': 5, 'FC': 4, 'FD': 1, 'FF': 8, 'FS': 2, 'I': 1, 'PI': 41}",97520.0,8.0,373,4.0,6.0,0.0,3.59,-0.21,1.15,8.0,0.61,shaylon,Shaylon,Shaylon,Shaylon Kallyson Cardoso,https://s.glbimg.com/es/sde/f/2022/03/03/613cc4607b07db0edb4d019f37550ecc_FORMATO.png,Atlético-GO
62017,Baralhas,1361,Atlético-GO,"{'CA': 3, 'DS': 19, 'FC': 12, 'FD': 1, 'FF': 3, 'FS': 4, 'FT': 1, 'PI': 19}",99440.0,8.0,373,4.0,7.0,0.0,7.17,1.42,3.27,7.0,5.27,baralhas,Baralhas,Baralhas,Gabriel Baralhas dos Santos,https://s.glbimg.com/es/sde/f/2022/03/03/23016221adbd611a74993ecdc84843f5_FORMATO.png,Atlético-GO
24688,Jorginho,1361,Atlético-GO,"{'CA': 4, 'DS': 9, 'FC': 4, 'FD': 2, 'FF': 4, 'FS': 11, 'G': 2, 'I': 1, 'PI': 65}",77544.0,8.0,373,4.0,7.0,0.0,5.58,-0.88,3.73,7.0,2.06,jorginho,Jorginho,Jorginho,Jorge de Moura Xavier,https://s.glbimg.com/es/sde/f/2022/03/03/5e1a8b5625036eb3729fbae6272ea055_FORMATO.png,Atlético-GO
24688,Jorginho,1361,Atlético-GO,{},70323.0,8.0,373,6.0,7.0,0.0,7.31,0.2,5.44,2.0,3.02,jorginho,Jorginho,Jorginho,Jorge Amorim de Oliveira Campos,https://s.glbimg.com/es/sde/f/2021/04/27/ed89bb6662d329721f0b34029b57a978_FORMATO.png,Atlético-GO
20495,Churín,1361,Atlético-GO,"{'CA': 1, 'DS': 3, 'FC': 7, 'FD': 2, 'FF': 6, 'FS': 4, 'G': 1, 'PI': 21}",98289.0,8.0,373,5.0,7.0,0.0,5.34,2.13,1.94,8.0,6.35,churin,Churín,Churín,Diego Churín Puyo,https://s.glbimg.com/es/sde/f/2022/04/07/9a194b1a94b42ab9128ae5de58f877b1_FORMATO.png,Atlético-GO
65284,Rickson,1361,Atlético-GO,"{'CA': 1, 'DS': 1, 'FC': 1, 'FS': 1, 'I': 1}",100002.0,8.0,373,4.0,6.0,0.0,1.65,0.0,0.1,3.0,0.48,rickson,Rickson,Rickson,Rickson Barbosa Sá da Conceição,https://s.glbimg.com/es/sde/f/2022/03/03/f82aadebc694039fa82daf954411c4cb_FORMATO.png,Atlético-GO
56863,Hayner,1361,Atlético-GO,"{'A': 2, 'CA': 3, 'DS': 9, 'FC': 9, 'FF': 1, 'FS': 9, 'PI': 38, 'SG': 1}",91856.0,8.0,373,2.0,3.0,0.0,3.71,-2.48,3.6,6.0,-1.22,hayner,Hayner,Hayner,Hayner Willian Monjardim Cordeiro,https://s.glbimg.com/es/sde/f/2022/04/07/f21175e4f1cb1c9ccf3df6db10da1c56_FORMATO.png,Atlético-GO
35613,Gabriel,1005,Flamengo,"{'CA': 2, 'DS': 3, 'FC': 3, 'FD': 3, 'FF': 5, 'FS': 7, 'G': 2, 'I': 7, 'PI': 28}",83257.0,8.0,262,5.0,3.0,0.0,11.33,1.37,3.47,7.0,6.66,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Flamengo
31960,David Luiz,1005,Flamengo,"{'CA': 2, 'DS': 8, 'FC': 9, 'FD': 2, 'FF': 1, 'I': 1, 'PI': 20}",52827.0,8.0,262,3.0,2.0,0.0,4.89,-0.34,1.2,5.0,0.5,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,Flamengo
72273,Léo Pereira,1005,Flamengo,"{'DS': 3, 'FC': 5, 'PI': 20}",83528.0,8.0,262,3.0,6.0,0.0,2.96,0.0,0.05,2.0,0.56,leo-pereira,Léo Pereira,L. Pereira,Leonardo Pereira,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,Flamengo
50746,Thiago Maia,1005,Flamengo,"{'DS': 8, 'FC': 2, 'FF': 1, 'PI': 17}",89637.0,8.0,262,4.0,6.0,0.0,4.61,0.0,1.62,5.0,1.27,thiago-maia,Thiago Maia,T. Maia,Thiago Maia Alencar,https://s.glbimg.com/es/sde/f/2022/03/04/8521ed98cc386179ae382597fba59056_FORMATO.png,Flamengo
