,fix_id,stat,local,team_id,team_name,logo,value
0,710846,form,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,38.0
1,710846,form,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,63.0
2,710846,att,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,50.0
3,710846,att,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,50.0
4,710846,def,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,57.0
5,710846,def,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,43.0
6,710846,poisson_distribution,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,51.0
7,710846,poisson_distribution,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,49.0
8,710846,h2h,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,60.0
9,710846,h2h,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,40.0
10,710846,goals,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,57.0
11,710846,goals,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,43.0
12,710846,total,home,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,52.2
13,710846,total,away,42,Arsenal,https://media.api-sports.io/football/teams/42.png,48.0
0,710847,form,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,40.0
1,710847,form,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,60.0
2,710847,att,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,25.0
3,710847,att,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,75.0
4,710847,def,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,47.0
5,710847,def,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,53.0
6,710847,poisson_distribution,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,51.0
7,710847,poisson_distribution,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,49.0
8,710847,h2h,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,50.0
9,710847,h2h,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,50.0
10,710847,goals,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,56.0
11,710847,goals,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,44.0
12,710847,total,home,44,Burnley,https://media.api-sports.io/football/teams/44.png,44.8
13,710847,total,away,41,Southampton,https://media.api-sports.io/football/teams/41.png,55.2
0,710848,form,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,50.0
1,710848,form,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,50.0
2,710848,att,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,50.0
3,710848,att,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,50.0
4,710848,def,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,45.0
5,710848,def,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,55.0
6,710848,poisson_distribution,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,63.0
7,710848,poisson_distribution,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,37.0
8,710848,h2h,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,100.0
9,710848,h2h,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,0.0
10,710848,goals,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,75.0
11,710848,goals,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,25.0
12,710848,total,home,46,Leicester,https://media.api-sports.io/football/teams/46.png,56.6
13,710848,total,away,55,Brentford,https://media.api-sports.io/football/teams/55.png,43.4
0,710849,form,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,60.0
1,710849,form,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,40.0
2,710849,att,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,57.0
3,710849,att,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,43.0
4,710849,def,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,89.0
5,710849,def,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,11.0
6,710849,poisson_distribution,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,81.0
7,710849,poisson_distribution,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,19.0
8,710849,h2h,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,71.0
9,710849,h2h,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,29.0
10,710849,goals,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,72.0
11,710849,goals,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,28.0
12,710849,total,home,40,Liverpool,https://media.api-sports.io/football/teams/40.png,71.7
13,710849,total,away,33,Manchester United,https://media.api-sports.io/football/teams/33.png,28.3
0,710850,form,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,100.0
1,710850,form,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,0.0
2,710850,att,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,92.0
3,710850,att,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,8.0
4,710850,def,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,73.0
5,710850,def,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,27.0
6,710850,poisson_distribution,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,78.0
7,710850,poisson_distribution,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,22.0
8,710850,h2h,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,80.0
9,710850,h2h,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,20.0
10,710850,goals,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,80.0
11,710850,goals,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,20.0
12,710850,total,home,50,Manchester City,https://media.api-sports.io/football/teams/50.png,80.6
13,710850,total,away,51,Brighton,https://media.api-sports.io/football/teams/51.png,19.4
0,710851,form,home,34,Newcastle,https://media.api-sports.io/football/teams/34.png,56.0
1,710851,form,away,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,44.0
