,campeonato,id_,status_long,status_short,referee,date,round_,home_team_id,home_team_nome,home_team_logo,home_team_goals,away_team_id,away_team_nome,away_team_logo,away_team_goals
0,France,718351,Match Finished,FT,F. Batta,2021-08-08 13:00:00+00:00,Regular Season - 1,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,0.0,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,2.0
1,France,718352,Match Finished,FT,M. Lesage,2021-08-07 15:00:00+00:00,Regular Season - 1,80,Lyon,https://media.api-sports.io/football/teams/80.png,1.0,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,1.0
2,France,718353,Match Finished,FT,E. Wattellier,2021-08-08 15:00:00+00:00,Regular Season - 1,112,Metz,https://media.api-sports.io/football/teams/112.png,3.0,79,Lille,https://media.api-sports.io/football/teams/79.png,3.0
3,France,718354,Match Finished,FT,A. Gautier,2021-08-06 19:00:00+00:00,Regular Season - 1,91,Monaco,https://media.api-sports.io/football/teams/91.png,1.0,83,Nantes,https://media.api-sports.io/football/teams/83.png,1.0
4,France,718355,Match Finished,FT,J. Pignard,2021-08-08 18:45:00+00:00,Regular Season - 1,82,Montpellier,https://media.api-sports.io/football/teams/82.png,2.0,81,Marseille,https://media.api-sports.io/football/teams/81.png,3.0
5,France,718356,Match Finished,FT,J. Hamel,2021-08-08 13:00:00+00:00,Regular Season - 1,84,Nice,https://media.api-sports.io/football/teams/84.png,0.0,93,Reims,https://media.api-sports.io/football/teams/93.png,0.0
6,France,718357,Match Finished,FT,B. Dechepy,2021-08-08 11:00:00+00:00,Regular Season - 1,94,Rennes,https://media.api-sports.io/football/teams/94.png,1.0,116,Lens,https://media.api-sports.io/football/teams/116.png,1.0
7,France,718358,Match Finished,FT,T. Léonard,2021-08-08 13:00:00+00:00,Regular Season - 1,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,1.0,97,Lorient,https://media.api-sports.io/football/teams/97.png,1.0
8,France,718359,Match Finished,FT,J. Stinat,2021-08-08 13:00:00+00:00,Regular Season - 1,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,0.0,77,Angers,https://media.api-sports.io/football/teams/77.png,2.0
9,France,718360,Match Finished,FT,A. Delerue,2021-08-07 19:00:00+00:00,Regular Season - 1,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,1.0,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,2.0
10,France,718361,Match Finished,FT,C. Turpin,2021-08-15 11:00:00+00:00,Regular Season - 2,77,Angers,https://media.api-sports.io/football/teams/77.png,3.0,80,Lyon,https://media.api-sports.io/football/teams/80.png,0.0
11,France,718362,Match Finished,FT,B. Bastien,2021-08-15 13:00:00+00:00,Regular Season - 2,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,1.0,94,Rennes,https://media.api-sports.io/football/teams/94.png,1.0
12,France,718363,Match Finished,FT,R. Lissorgue,2021-08-15 13:00:00+00:00,Regular Season - 2,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,2.0,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,0.0
13,France,718364,Match Finished,FT,A. Delerue,2021-08-15 15:00:00+00:00,Regular Season - 2,116,Lens,https://media.api-sports.io/football/teams/116.png,2.0,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,2.0
14,France,718365,Match Finished,FT,J. Brisard,2021-08-14 15:00:00+00:00,Regular Season - 2,79,Lille,https://media.api-sports.io/football/teams/79.png,0.0,84,Nice,https://media.api-sports.io/football/teams/84.png,4.0
15,France,718366,Match Finished,FT,H. Ben El Hadj,2021-08-13 19:00:00+00:00,Regular Season - 2,97,Lorient,https://media.api-sports.io/football/teams/97.png,1.0,91,Monaco,https://media.api-sports.io/football/teams/91.png,0.0
16,France,718367,Match Finished,FT,R. Buquet,2021-08-15 18:45:00+00:00,Regular Season - 2,81,Marseille,https://media.api-sports.io/football/teams/81.png,2.0,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,2.0
17,France,718368,Match Finished,FT,J. Hamel,2021-08-15 13:00:00+00:00,Regular Season - 2,83,Nantes,https://media.api-sports.io/football/teams/83.png,2.0,112,Metz,https://media.api-sports.io/football/teams/112.png,0.0
18,France,718369,Match Finished,FT,W. Delajod,2021-08-14 19:00:00+00:00,Regular Season - 2,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,4.0,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,2.0
19,France,718370,Match Finished,FT,J. Stinat,2021-08-15 13:00:00+00:00,Regular Season - 2,93,Reims,https://media.api-sports.io/football/teams/93.png,3.0,82,Montpellier,https://media.api-sports.io/football/teams/82.png,3.0
20,France,718371,Match Finished,FT,P. Gaillouste,2021-08-22 13:00:00+00:00,Regular Season - 3,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,1.0,77,Angers,https://media.api-sports.io/football/teams/77.png,1.0
21,France,718372,Match Finished,FT,E. Wattellier,2021-08-20 19:00:00+00:00,Regular Season - 3,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,2.0,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,4.0
22,France,718373,Match Finished,FT,T. Léonard,2021-08-22 11:00:00+00:00,Regular Season - 3,80,Lyon,https://media.api-sports.io/football/teams/80.png,3.0,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,3.0
23,France,718374,Match Finished,FT,F. Batta,2021-08-22 13:00:00+00:00,Regular Season - 3,112,Metz,https://media.api-sports.io/football/teams/112.png,1.0,93,Reims,https://media.api-sports.io/football/teams/93.png,1.0
24,France,718375,Match Finished,FT,J. Pignard,2021-08-21 15:00:00+00:00,Regular Season - 3,91,Monaco,https://media.api-sports.io/football/teams/91.png,0.0,116,Lens,https://media.api-sports.io/football/teams/116.png,2.0
25,France,718376,Match Finished,FT,B. Dechepy,2021-08-22 13:00:00+00:00,Regular Season - 3,82,Montpellier,https://media.api-sports.io/football/teams/82.png,3.0,97,Lorient,https://media.api-sports.io/football/teams/97.png,1.0
26,France,718377,Match Finished,FT,C. Turpin,2021-10-27 19:00:00+00:00,Regular Season - 3,84,Nice,https://media.api-sports.io/football/teams/84.png,1.0,81,Marseille,https://media.api-sports.io/football/teams/81.png,1.0
27,France,718378,Match Finished,FT,S. Frappart,2021-08-22 15:00:00+00:00,Regular Season - 3,94,Rennes,https://media.api-sports.io/football/teams/94.png,1.0,83,Nantes,https://media.api-sports.io/football/teams/83.png,0.0
28,France,718379,Match Finished,FT,M. Lesage,2021-08-21 19:00:00+00:00,Regular Season - 3,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,1.0,79,Lille,https://media.api-sports.io/football/teams/79.png,1.0
29,France,718380,Match Finished,FT,J. Brisard,2021-08-22 13:00:00+00:00,Regular Season - 3,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,1.0,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,1.0
30,France,718381,Match Finished,FT,A. Gautier,2021-08-29 13:00:00+00:00,Regular Season - 4,77,Angers,https://media.api-sports.io/football/teams/77.png,2.0,94,Rennes,https://media.api-sports.io/football/teams/94.png,0.0
31,France,718382,Match Finished,FT,H. Ben El Hadj,2021-08-29 13:00:00+00:00,Regular Season - 4,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,2.0,112,Metz,https://media.api-sports.io/football/teams/112.png,2.0
32,France,718383,Match Finished,FT,W. Delajod,2021-08-29 13:00:00+00:00,Regular Season - 4,116,Lens,https://media.api-sports.io/football/teams/116.png,2.0,97,Lorient,https://media.api-sports.io/football/teams/97.png,2.0
33,France,718384,Match Finished,FT,A. Delerue,2021-08-29 15:00:00+00:00,Regular Season - 4,79,Lille,https://media.api-sports.io/football/teams/79.png,2.0,82,Montpellier,https://media.api-sports.io/football/teams/82.png,1.0
34,France,718385,Match Finished,FT,B. Millot,2021-08-28 19:00:00+00:00,Regular Season - 4,81,Marseille,https://media.api-sports.io/football/teams/81.png,3.0,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,1.0
35,France,718386,Match Finished,FT,J. Brisard,2021-08-27 19:00:00+00:00,Regular Season - 4,83,Nantes,https://media.api-sports.io/football/teams/83.png,0.0,80,Lyon,https://media.api-sports.io/football/teams/80.png,1.0
36,France,718387,Match Finished,FT,J. Pignard,2021-08-28 15:00:00+00:00,Regular Season - 4,84,Nice,https://media.api-sports.io/football/teams/84.png,4.0,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,0.0
37,France,718388,Match Finished,FT,F. Letexier,2021-08-29 18:45:00+00:00,Regular Season - 4,93,Reims,https://media.api-sports.io/football/teams/93.png,0.0,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,2.0
38,France,718389,Match Finished,FT,R. Lissorgue,2021-08-29 13:00:00+00:00,Regular Season - 4,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,3.0,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,1.0
39,France,718390,Match Finished,FT,J. Hamel,2021-08-29 11:00:00+00:00,Regular Season - 4,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,1.0,91,Monaco,https://media.api-sports.io/football/teams/91.png,2.0
40,France,718391,Match Finished,FT,Luis Godinho,2021-09-12 13:00:00+00:00,Regular Season - 5,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,2.0,116,Lens,https://media.api-sports.io/football/teams/116.png,3.0
41,France,718392,Match Finished,FT,J. Stinat,2021-09-12 13:00:00+00:00,Regular Season - 5,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,1.0,77,Angers,https://media.api-sports.io/football/teams/77.png,1.0
42,France,718393,Match Finished,FT,C. Turpin,2021-09-10 19:00:00+00:00,Regular Season - 5,97,Lorient,https://media.api-sports.io/football/teams/97.png,2.0,79,Lille,https://media.api-sports.io/football/teams/79.png,1.0
43,France,718394,Match Finished,FT,R. Buquet,2021-09-12 18:45:00+00:00,Regular Season - 5,80,Lyon,https://media.api-sports.io/football/teams/80.png,3.0,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,1.0
44,France,718395,Match Finished,FT,P. Gaillouste,2021-09-12 13:00:00+00:00,Regular Season - 5,112,Metz,https://media.api-sports.io/football/teams/112.png,0.0,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,2.0
45,France,718396,Match Finished,FT,S. Frappart,2021-09-11 19:00:00+00:00,Regular Season - 5,91,Monaco,https://media.api-sports.io/football/teams/91.png,0.0,81,Marseille,https://media.api-sports.io/football/teams/81.png,2.0
46,France,718397,Match Finished,FT,B. Bastien,2021-09-12 11:00:00+00:00,Regular Season - 5,82,Montpellier,https://media.api-sports.io/football/teams/82.png,2.0,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,0.0
47,France,718398,Match Finished,FT,B. Millot,2021-09-12 15:00:00+00:00,Regular Season - 5,83,Nantes,https://media.api-sports.io/football/teams/83.png,0.0,84,Nice,https://media.api-sports.io/football/teams/84.png,2.0
48,France,718399,Match Finished,FT,M. Lesage,2021-09-11 15:00:00+00:00,Regular Season - 5,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,4.0,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,0.0
49,France,718400,Match Finished,FT,T. Léonard,2021-09-12 13:00:00+00:00,Regular Season - 5,94,Rennes,https://media.api-sports.io/football/teams/94.png,0.0,93,Reims,https://media.api-sports.io/football/teams/93.png,2.0
50,France,718401,Match Finished,FT,A. Delerue,2021-09-19 13:00:00+00:00,Regular Season - 6,77,Angers,https://media.api-sports.io/football/teams/77.png,1.0,83,Nantes,https://media.api-sports.io/football/teams/83.png,4.0
51,France,718402,Match Finished,FT,B. Dechepy,2021-09-19 13:00:00+00:00,Regular Season - 6,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,1.0,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,1.0
52,France,718403,Match Finished,FT,B. Millot,2021-09-18 15:00:00+00:00,Regular Season - 6,116,Lens,https://media.api-sports.io/football/teams/116.png,1.0,79,Lille,https://media.api-sports.io/football/teams/79.png,0.0
53,France,718404,Match Finished,FT,W. Delajod,2021-09-19 15:00:00+00:00,Regular Season - 6,81,Marseille,https://media.api-sports.io/football/teams/81.png,2.0,94,Rennes,https://media.api-sports.io/football/teams/94.png,0.0
54,France,718405,Match Finished,FT,F. Letexier,2021-09-19 11:00:00+00:00,Regular Season - 6,84,Nice,https://media.api-sports.io/football/teams/84.png,2.0,91,Monaco,https://media.api-sports.io/football/teams/91.png,2.0
55,France,718406,Match Finished,FT,C. Turpin,2021-09-19 18:45:00+00:00,Regular Season - 6,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,2.0,80,Lyon,https://media.api-sports.io/football/teams/80.png,1.0
