,fix_id,stat,local,team_id,team_name,logo,value
0,719574,form,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,71.0
1,719574,form,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,29.0
2,719574,att,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,88.0
3,719574,att,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,12.0
4,719574,def,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,47.0
5,719574,def,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,53.0
6,719574,poisson_distribution,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,72.0
7,719574,poisson_distribution,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,28.0
8,719574,h2h,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,100.0
9,719574,h2h,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,0.0
10,719574,goals,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,89.0
11,719574,goals,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,11.0
12,719574,total,home,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,73.4
13,719574,total,away,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,26.6
0,719575,form,home,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,43.0
1,719575,form,away,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,57.0
2,719575,att,home,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,47.0
3,719575,att,away,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,53.0
4,719575,def,home,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,46.0
5,719575,def,away,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,54.0
6,719575,poisson_distribution,home,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,65.0
7,719575,poisson_distribution,away,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,35.0
8,719575,h2h,home,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,75.0
9,719575,h2h,away,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,25.0
