,campeonato,id_,status_long,status_short,referee,date,round_,home_team_id,home_team_nome,home_team_logo,home_team_goals,away_team_id,away_team_nome,away_team_logo,away_team_goals
0,Germany,871164,Match Finished,FT,"Deniz Aytekin, Germany",2022-08-05 18:30:00+00:00,Regular Season - 1,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,1.0,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,6.0
1,Germany,871165,Match Finished,FT,"Felix Brych, Germany",2022-08-06 16:30:00+00:00,Regular Season - 1,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,1.0,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,0.0
2,Germany,871166,Match Finished,FT,"Marco Fritz, Germany",2022-08-06 13:30:00+00:00,Regular Season - 1,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,3.0,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,1.0
3,Germany,871167,Match Finished,FT,"Robert Schroder, Germany",2022-08-07 15:30:00+00:00,Regular Season - 1,192,FC Koln,https://media.api-sports.io/football/teams/192.png,3.0,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,1.0
4,Germany,871168,Match Finished,FT,"Daniel Siebert, Germany",2022-08-06 13:30:00+00:00,Regular Season - 1,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,3.0,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,1.0
5,Germany,871169,Match Finished,FT,"Sascha Stegemann, Germany",2022-08-06 13:30:00+00:00,Regular Season - 1,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2.0,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,2.0
6,Germany,871170,Match Finished,FT,"Felix Zwayer, Germany",2022-08-06 13:30:00+00:00,Regular Season - 1,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,1.0,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,2.0
7,Germany,871171,Match Finished,FT,"Bastian Dankert, Germany",2022-08-06 13:30:00+00:00,Regular Season - 1,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,0.0,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,4.0
8,Germany,871172,Match Finished,FT,"Tobias Stieler, Germany",2022-08-07 13:30:00+00:00,Regular Season - 1,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,1.0,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,1.0
9,Germany,871173,Match Finished,FT,"Harm Osmers, Germany",2022-08-14 15:30:00+00:00,Regular Season - 2,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,2.0,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,0.0
10,Germany,871174,Match Finished,FT,"Benjamin Cortus, Germany",2022-08-13 13:30:00+00:00,Regular Season - 2,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,1.0,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,2.0
11,Germany,871175,Match Finished,FT,"Benjamin Brand, Germany",2022-08-13 13:30:00+00:00,Regular Season - 2,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,2.0,192,FC Koln,https://media.api-sports.io/football/teams/192.png,2.0
12,Germany,871176,Match Finished,FT,"Tobias Welz, Germany",2022-08-12 18:30:00+00:00,Regular Season - 2,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,1.0,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,3.0
13,Germany,871177,Match Finished,FT,"Daniel Schlager, Germany",2022-08-14 13:30:00+00:00,Regular Season - 2,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,0.0,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,0.0
14,Germany,871178,Match Finished,FT,"Patrick Ittrich, Germany",2022-08-13 13:30:00+00:00,Regular Season - 2,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,3.0,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,2.0
15,Germany,871179,Match Finished,FT,"Frank Willenborg, Germany",2022-08-13 13:30:00+00:00,Regular Season - 2,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,1.0,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,1.0
16,Germany,871180,Match Finished,FT,"Sven Jablonski, Germany",2022-08-13 16:30:00+00:00,Regular Season - 2,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,2.0,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,2.0
17,Germany,871181,Match Finished,FT,"Robert Hartmann, Germany",2022-08-13 13:30:00+00:00,Regular Season - 2,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,2.0,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,2.0
18,Germany,871182,Not Started,NS,,2022-08-20 13:30:00+00:00,Regular Season - 3,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,
19,Germany,871183,Not Started,NS,,2022-08-20 13:30:00+00:00,Regular Season - 3,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,
20,Germany,871184,Not Started,NS,,2022-08-20 16:30:00+00:00,Regular Season - 3,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,
21,Germany,871185,Not Started,NS,,2022-08-19 18:30:00+00:00,Regular Season - 3,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,
22,Germany,871186,Not Started,NS,,2022-08-21 13:30:00+00:00,Regular Season - 3,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,192,FC Koln,https://media.api-sports.io/football/teams/192.png,
23,Germany,871187,Not Started,NS,,2022-08-20 13:30:00+00:00,Regular Season - 3,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,
24,Germany,871188,Not Started,NS,,2022-08-21 15:30:00+00:00,Regular Season - 3,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,
25,Germany,871189,Not Started,NS,,2022-08-20 13:30:00+00:00,Regular Season - 3,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,
26,Germany,871190,Not Started,NS,,2022-08-20 13:30:00+00:00,Regular Season - 3,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,
27,Germany,871191,Not Started,NS,,2022-08-27 16:30:00+00:00,Regular Season - 4,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,
28,Germany,871192,Not Started,NS,,2022-08-27 13:30:00+00:00,Regular Season - 4,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,
29,Germany,871193,Not Started,NS,,2022-08-26 18:30:00+00:00,Regular Season - 4,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,,176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png,
30,Germany,871194,Not Started,NS,,2022-08-28 13:30:00+00:00,Regular Season - 4,192,FC Koln,https://media.api-sports.io/football/teams/192.png,,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,
31,Germany,871195,Not Started,NS,,2022-08-27 13:30:00+00:00,Regular Season - 4,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,
32,Germany,871196,Not Started,NS,,2022-08-27 13:30:00+00:00,Regular Season - 4,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,
33,Germany,871197,Not Started,NS,,2022-08-27 13:30:00+00:00,Regular Season - 4,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,
34,Germany,871198,Not Started,NS,,2022-08-27 13:30:00+00:00,Regular Season - 4,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,
35,Germany,871199,Not Started,NS,,2022-08-28 15:30:00+00:00,Regular Season - 4,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,
36,Germany,871200,Not Started,NS,,2022-09-02 18:30:00+00:00,Regular Season - 5,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,
37,Germany,871201,Not Started,NS,,2022-09-03 13:30:00+00:00,Regular Season - 5,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,
