,fix_id,stat,local,team_id,team_name,logo,value
0,731854,form,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,71.0
1,731854,form,away,503,Torino,https://media.api-sports.io/football/teams/503.png,29.0
2,731854,att,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,50.0
3,731854,att,away,503,Torino,https://media.api-sports.io/football/teams/503.png,50.0
4,731854,def,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,53.0
5,731854,def,away,503,Torino,https://media.api-sports.io/football/teams/503.png,47.0
6,731854,poisson_distribution,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,64.0
7,731854,poisson_distribution,away,503,Torino,https://media.api-sports.io/football/teams/503.png,36.0
8,731854,h2h,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,25.0
9,731854,h2h,away,503,Torino,https://media.api-sports.io/football/teams/503.png,75.0
10,731854,goals,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,40.0
11,731854,goals,away,503,Torino,https://media.api-sports.io/football/teams/503.png,60.0
12,731854,total,home,500,Bologna,https://media.api-sports.io/football/teams/500.png,50.5
13,731854,total,away,503,Torino,https://media.api-sports.io/football/teams/503.png,49.5
0,731855,form,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,53.0
1,731855,form,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,47.0
2,731855,att,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,47.0
3,731855,att,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,53.0
4,731855,def,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,38.0
5,731855,def,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,63.0
6,731855,poisson_distribution,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,41.0
7,731855,poisson_distribution,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,59.0
8,731855,h2h,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,7.0
9,731855,h2h,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,93.0
10,731855,goals,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,31.0
11,731855,goals,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,69.0
12,731855,total,home,490,Cagliari,https://media.api-sports.io/football/teams/490.png,36.2
13,731855,total,away,487,Lazio,https://media.api-sports.io/football/teams/487.png,64.0
0,731856,form,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,41.0
1,731856,form,away,504,Verona,https://media.api-sports.io/football/teams/504.png,59.0
2,731856,att,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,31.0
3,731856,att,away,504,Verona,https://media.api-sports.io/football/teams/504.png,69.0
4,731856,def,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,46.0
5,731856,def,away,504,Verona,https://media.api-sports.io/football/teams/504.png,54.0
6,731856,poisson_distribution,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,67.0
7,731856,poisson_distribution,away,504,Verona,https://media.api-sports.io/football/teams/504.png,33.0
8,731856,h2h,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,50.0
9,731856,h2h,away,504,Verona,https://media.api-sports.io/football/teams/504.png,50.0
10,731856,goals,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,50.0
11,731856,goals,away,504,Verona,https://media.api-sports.io/football/teams/504.png,50.0
12,731856,total,home,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,47.5
13,731856,total,away,504,Verona,https://media.api-sports.io/football/teams/504.png,52.5
0,731857,form,home,495,Genoa,https://media.api-sports.io/football/teams/495.png,71.0
1,731857,form,away,511,Empoli,https://media.api-sports.io/football/teams/511.png,29.0
