,campeonato,id_,status_long,status_short,referee,date,round_,home_team_id,home_team_nome,home_team_logo,home_team_goals,away_team_id,away_team_nome,away_team_logo,away_team_goals
0,Italy,731584,Match Finished,FT,"Antonio Rapuano, Italy",2021-08-22 16:30:00+00:00,Regular Season - 1,500,Bologna,https://media.api-sports.io/football/teams/500.png,3.0,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2.0
1,Italy,731585,Match Finished,FT,"Francesco Fourneau, Italy",2021-08-23 16:30:00+00:00,Regular Season - 1,490,Cagliari,https://media.api-sports.io/football/teams/490.png,2.0,515,Spezia,https://media.api-sports.io/football/teams/515.png,2.0
2,Italy,731586,Match Finished,FT,"Simone Sozza, Italy",2021-08-21 18:45:00+00:00,Regular Season - 1,511,Empoli,https://media.api-sports.io/football/teams/511.png,1.0,487,Lazio,https://media.api-sports.io/football/teams/487.png,3.0
3,Italy,731587,Match Finished,FT,"Manuel Volpi, Italy",2021-08-21 16:30:00+00:00,Regular Season - 1,504,Verona,https://media.api-sports.io/football/teams/504.png,2.0,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3.0
4,Italy,731588,Match Finished,FT,"Valerio Marini, Italy",2021-08-21 16:30:00+00:00,Regular Season - 1,505,Inter,https://media.api-sports.io/football/teams/505.png,4.0,495,Genoa,https://media.api-sports.io/football/teams/495.png,0.0
5,Italy,731589,Match Finished,FT,"Gianluca Aureliano, Italy",2021-08-22 18:45:00+00:00,Regular Season - 1,492,Napoli,https://media.api-sports.io/football/teams/492.png,2.0,517,Venezia,https://media.api-sports.io/football/teams/517.png,0.0
6,Italy,731590,Match Finished,FT,"Luca J. Pairetto, Italy",2021-08-22 18:45:00+00:00,Regular Season - 1,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3.0,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,1.0
7,Italy,731591,Match Finished,FT,"Marco Guida, Italy",2021-08-23 18:45:00+00:00,Regular Season - 1,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,0.0,489,AC Milan,https://media.api-sports.io/football/teams/489.png,1.0
8,Italy,731592,Match Finished,FT,"Daniele Chiffi, Italy",2021-08-21 18:45:00+00:00,Regular Season - 1,503,Torino,https://media.api-sports.io/football/teams/503.png,1.0,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2.0
9,Italy,731593,Match Finished,FT,"Ivano Pezzuto, Italy",2021-08-22 16:30:00+00:00,Regular Season - 1,494,Udinese,https://media.api-sports.io/football/teams/494.png,2.0,496,Juventus,https://media.api-sports.io/football/teams/496.png,2.0
