,fix_id,stat,local,team_id,team_name,logo,value
0,814406,form,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,42.0
1,814406,form,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,58.0
2,814406,att,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,36.0
3,814406,att,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,64.0
4,814406,def,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,50.0
5,814406,def,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,50.0
6,814406,poisson_distribution,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,56.0
7,814406,poisson_distribution,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,44.0
8,814406,h2h,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,33.0
9,814406,h2h,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,67.0
10,814406,goals,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,27.0
11,814406,goals,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,73.0
12,814406,total,home,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,40.7
13,814406,total,away,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,59.3
0,814407,form,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,44.0
1,814407,form,away,128,Santos,https://media.api-sports.io/football/teams/128.png,56.0
2,814407,att,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,46.0
3,814407,att,away,128,Santos,https://media.api-sports.io/football/teams/128.png,54.0
4,814407,def,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,50.0
5,814407,def,away,128,Santos,https://media.api-sports.io/football/teams/128.png,50.0
6,814407,poisson_distribution,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,31.0
7,814407,poisson_distribution,away,128,Santos,https://media.api-sports.io/football/teams/128.png,69.0
8,814407,h2h,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,50.0
9,814407,h2h,away,128,Santos,https://media.api-sports.io/football/teams/128.png,50.0
10,814407,goals,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,50.0
11,814407,goals,away,128,Santos,https://media.api-sports.io/football/teams/128.png,50.0
12,814407,total,home,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,45.2
13,814407,total,away,128,Santos,https://media.api-sports.io/football/teams/128.png,54.8
0,814408,form,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,40.0
1,814408,form,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,60.0
2,814408,att,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,43.0
3,814408,att,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,57.0
4,814408,def,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,50.0
5,814408,def,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,50.0
6,814408,poisson_distribution,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,18.0
7,814408,poisson_distribution,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,82.0
8,814408,h2h,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,50.0
9,814408,h2h,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,50.0
10,814408,goals,home,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,50.0
11,814408,goals,away,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,50.0
