,campeonato,id_,status_long,status_short,referee,date,round_,home_team_id,home_team_nome,home_team_logo,home_team_goals,away_team_id,away_team_nome,away_team_logo,away_team_goals
0,Paulista,814334,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-01-26 22:00:00+00:00,Regular Season - 1,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,0.0,128,Santos,https://media.api-sports.io/football/teams/128.png,0.0
1,Paulista,814335,Match Finished,FT,Lucas Canetto Bellote,2022-01-25 22:00:00+00:00,Regular Season - 1,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,0.0,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,0.0
2,Paulista,814336,Match Finished,FT,Thiago Lourenço De Mattos,2022-01-26 18:00:00+00:00,Regular Season - 1,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,0.0,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,1.0
3,Paulista,814337,Match Finished,FT,Luiz Flavio De Oliveira,2022-01-28 00:30:00+00:00,Regular Season - 1,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,2.0,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,1.0
4,Paulista,814338,Match Finished,FT,Edina Alves Batista,2022-01-26 22:00:00+00:00,Regular Season - 1,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,2.0,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0
5,Paulista,814339,Match Finished,FT,Salim Fende Chavez,2022-01-27 23:00:00+00:00,Regular Season - 1,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,3.0,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,1.0
6,Paulista,814340,Match Finished,FT,Raphael Claus,2022-01-27 00:35:00+00:00,Regular Season - 1,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,3.0,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,0.0
7,Paulista,814341,Match Finished,FT,Thiago Luis Scarascati,2022-01-26 00:00:00+00:00,Regular Season - 1,131,Corinthians,https://media.api-sports.io/football/teams/131.png,0.0,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,0.0
8,Paulista,814342,Match Finished,FT,Matheus Delgado Candançan,2022-01-30 21:30:00+00:00,Regular Season - 2,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,0.0,131,Corinthians,https://media.api-sports.io/football/teams/131.png,1.0
9,Paulista,814343,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-01-29 21:30:00+00:00,Regular Season - 2,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,1.0,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,0.0
10,Paulista,814344,Match Finished,FT,Adriano de Assis Miranda,2022-01-30 23:30:00+00:00,Regular Season - 2,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,0.0
11,Paulista,814345,Match Finished,FT,Pablo Rodrigo Soares de Oliveira,2022-01-29 21:30:00+00:00,Regular Season - 2,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,2.0,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,2.0
12,Paulista,814346,Match Finished,FT,Thiago Luis Scarascati,2022-01-31 23:00:00+00:00,Regular Season - 2,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,1.0,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,0.0
13,Paulista,814347,Match Finished,FT,Raphael Claus,2022-01-29 14:00:00+00:00,Regular Season - 2,128,Santos,https://media.api-sports.io/football/teams/128.png,0.0,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,1.0
14,Paulista,814348,Match Finished,FT,Douglas Marques das Flores,2022-01-29 19:00:00+00:00,Regular Season - 2,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,1.0,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,1.0
15,Paulista,814349,Match Finished,FT,Salim Fende Chavez,2022-01-30 19:00:00+00:00,Regular Season - 2,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,0.0,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,0.0
16,Paulista,814350,Match Finished,FT,Douglas Marques das Flores,2022-02-02 00:00:00+00:00,Regular Season - 3,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,1.0,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,1.0
17,Paulista,814351,Match Finished,FT,Daiane Caroline Muniz dos Santos,2022-02-02 22:00:00+00:00,Regular Season - 3,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,1.0,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,0.0
18,Paulista,814352,Match Finished,FT,Adriano de Assis Miranda,2022-02-03 22:00:00+00:00,Regular Season - 3,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,2.0,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,1.0
19,Paulista,814353,Match Finished,FT,Thiago Lourenço De Mattos,2022-02-03 22:00:00+00:00,Regular Season - 3,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,2.0,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,0.0
20,Paulista,814354,Match Finished,FT,Salim Fende Chavez,2022-02-01 22:00:00+00:00,Regular Season - 3,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,1.0,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,0.0
21,Paulista,814355,Match Finished,FT,Thiago Duarte Peixoto,2022-02-02 22:00:00+00:00,Regular Season - 3,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,2.0,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0
22,Paulista,814356,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-02-04 00:30:00+00:00,Regular Season - 3,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,4.0,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,3.0
23,Paulista,814357,Match Finished,FT,Thiago Luis Scarascati,2022-02-03 00:35:00+00:00,Regular Season - 3,131,Corinthians,https://media.api-sports.io/football/teams/131.png,1.0,128,Santos,https://media.api-sports.io/football/teams/128.png,2.0
24,Paulista,814358,Match Finished,FT,Ilbert Estevam Da Silva,2022-02-06 23:30:00+00:00,Regular Season - 4,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,3.0,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,0.0
25,Paulista,814359,Match Finished,FT,Lucas Canetto Bellote,2022-02-05 18:00:00+00:00,Regular Season - 4,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,1.0,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0
26,Paulista,814360,Match Finished,FT,Raphael Claus,2022-02-06 23:30:00+00:00,Regular Season - 4,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,1.0,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,1.0
27,Paulista,814361,Match Finished,FT,Douglas Marques das Flores,2022-02-06 19:00:00+00:00,Regular Season - 4,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,1.0,128,Santos,https://media.api-sports.io/football/teams/128.png,1.0
28,Paulista,814362,Match Finished,FT,Luiz Flavio De Oliveira,2022-02-06 21:30:00+00:00,Regular Season - 4,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,2.0,131,Corinthians,https://media.api-sports.io/football/teams/131.png,3.0
29,Paulista,814363,Match Finished,FT,Fabiano Monteiro dos Santos,2022-02-06 14:00:00+00:00,Regular Season - 4,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,2.0,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,2.0
30,Paulista,814364,Match Finished,FT,Thiago Luis Scarascati,2022-02-05 14:00:00+00:00,Regular Season - 4,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,2.0,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,0.0
31,Paulista,814365,Not Started,NS,,2022-03-10 23:30:00+00:00,Regular Season - 4,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,
32,Paulista,814366,Match Finished,FT,Thiago Luis Scarascati,2022-02-09 18:00:00+00:00,Regular Season - 5,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,2.0,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,2.0
33,Paulista,814367,Match Finished,FT,Thiago Lourenço De Mattos,2022-02-10 00:30:00+00:00,Regular Season - 5,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,1.0,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,2.0
34,Paulista,814368,Match Finished,FT,Luiz Flavio De Oliveira,2022-01-23 19:00:00+00:00,Regular Season - 5,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,2.0
35,Paulista,814369,Match Finished,FT,Matheus Delgado Candançan,2022-02-10 00:30:00+00:00,Regular Season - 5,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,0.0,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,2.0
36,Paulista,814370,Match Finished,FT,Edina Alves Batista,2022-02-09 23:30:00+00:00,Regular Season - 5,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,4.0,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,1.0
37,Paulista,814371,Match Finished,FT,Raphael Claus,2022-02-11 00:30:00+00:00,Regular Season - 5,131,Corinthians,https://media.api-sports.io/football/teams/131.png,2.0,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,1.0
38,Paulista,814372,Match Finished,FT,Luiz Flavio De Oliveira,2022-02-10 22:00:00+00:00,Regular Season - 5,128,Santos,https://media.api-sports.io/football/teams/128.png,1.0,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,1.0
39,Paulista,814373,Match Finished,FT,Douglas Marques das Flores,2022-02-09 22:00:00+00:00,Regular Season - 5,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,1.0,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,0.0
40,Paulista,814374,Match Finished,FT,Luiz Flavio De Oliveira,2022-02-13 14:00:00+00:00,Regular Season - 6,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,2.0,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,2.0
41,Paulista,814375,Match Finished,FT,Adriano de Assis Miranda,2022-02-12 19:00:00+00:00,Regular Season - 6,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,0.0,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,2.0
42,Paulista,814376,Match Finished,FT,Pablo Rodrigo Soares de Oliveira,2022-02-12 21:30:00+00:00,Regular Season - 6,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,2.0,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,2.0
43,Paulista,814377,Match Finished,FT,Thiago Luis Scarascati,2022-02-12 19:00:00+00:00,Regular Season - 6,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,1.0,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,2.0
44,Paulista,814378,Not Started,NS,,2022-03-17 23:30:00+00:00,Regular Season - 6,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,,131,Corinthians,https://media.api-sports.io/football/teams/131.png,
45,Paulista,814379,Match Finished,FT,Raphael Claus,2022-02-13 21:30:00+00:00,Regular Season - 6,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,1.0,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,2.0
46,Paulista,814380,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-02-13 19:00:00+00:00,Regular Season - 6,128,Santos,https://media.api-sports.io/football/teams/128.png,2.0,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,1.0
47,Paulista,814381,Match Finished,FT,Fabiano Monteiro dos Santos,2022-02-13 23:30:00+00:00,Regular Season - 6,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,1.0,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,0.0
48,Paulista,814382,Match Finished,FT,Vinicius Furlan,2022-02-15 22:00:00+00:00,Regular Season - 7,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,0.0,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0
49,Paulista,814383,Match Finished,FT,Raphael Claus,2022-02-16 22:00:00+00:00,Regular Season - 7,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,0.0,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,2.0
50,Paulista,814384,Match Finished,FT,Salim Fende Chavez,2022-02-16 22:00:00+00:00,Regular Season - 7,7779,Ituano,https://media.api-sports.io/football/teams/7779.png,3.0,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,0.0
51,Paulista,814385,Match Finished,FT,Thiago Luis Scarascati,2022-02-17 22:00:00+00:00,Regular Season - 7,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,3.0,128,Santos,https://media.api-sports.io/football/teams/128.png,2.0
52,Paulista,814386,Match Finished,FT,Luiz Flavio De Oliveira,2022-02-16 22:00:00+00:00,Regular Season - 7,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,0.0,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,1.0
53,Paulista,814387,Match Finished,FT,Douglas Marques das Flores,2022-02-17 22:00:00+00:00,Regular Season - 7,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,2.0,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,0.0
54,Paulista,814388,Match Finished,FT,Thiago Lourenço De Mattos,2022-02-17 00:30:00+00:00,Regular Season - 7,131,Corinthians,https://media.api-sports.io/football/teams/131.png,3.0,7865,São Bernardo,https://media.api-sports.io/football/teams/7865.png,0.0
55,Paulista,814389,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-02-18 00:30:00+00:00,Regular Season - 7,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,0.0,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,0.0
56,Paulista,814390,Match Finished,FT,Salim Fende Chavez,2022-02-20 23:30:00+00:00,Regular Season - 8,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,1.0,7826,Ferroviária,https://media.api-sports.io/football/teams/7826.png,2.0
57,Paulista,814391,Match Finished,FT,Douglas Marques das Flores,2022-02-19 21:30:00+00:00,Regular Season - 8,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,1.0,131,Corinthians,https://media.api-sports.io/football/teams/131.png,1.0
58,Paulista,814392,Match Finished,FT,Thiago Duarte Peixoto,2022-02-20 14:00:00+00:00,Regular Season - 8,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,1.0,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,2.0
59,Paulista,814393,Match Finished,FT,Luiz Flavio De Oliveira,2022-02-20 23:30:00+00:00,Regular Season - 8,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0.0,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,3.0
60,Paulista,814394,Match Finished,FT,Vinicius Gonçalves Dias Araujo,2022-02-19 23:30:00+00:00,Regular Season - 8,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,3.0,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,0.0
