,fix_id,stat,local,team_id,team_name,logo,value
0,721009,form,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,67.0
1,721009,form,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,33.0
2,721009,att,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,75.0
3,721009,att,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,25.0
4,721009,def,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,38.0
5,721009,def,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,63.0
6,721009,poisson_distribution,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,71.0
7,721009,poisson_distribution,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,29.0
8,721009,h2h,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,91.0
9,721009,h2h,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,9.0
10,721009,goals,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,76.0
11,721009,goals,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,24.0
12,721009,total,home,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,69.7
13,721009,total,away,724,Cadiz,https://media.api-sports.io/football/teams/724.png,30.5
0,721010,form,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,65.0
1,721010,form,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,35.0
2,721010,att,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,80.0
3,721010,att,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,20.0
4,721010,def,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,40.0
5,721010,def,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,60.0
6,721010,poisson_distribution,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,55.0
7,721010,poisson_distribution,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,45.0
8,721010,h2h,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,62.0
9,721010,h2h,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,38.0
10,721010,goals,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,65.0
11,721010,goals,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,35.0
12,721010,total,home,529,Barcelona,https://media.api-sports.io/football/teams/529.png,61.2
13,721010,total,away,727,Osasuna,https://media.api-sports.io/football/teams/727.png,38.8
0,721011,form,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,40.0
1,721011,form,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,60.0
2,721011,att,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,42.0
3,721011,att,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,58.0
4,721011,def,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,47.0
5,721011,def,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,53.0
6,721011,poisson_distribution,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,56.0
7,721011,poisson_distribution,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,44.0
8,721011,h2h,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,15.0
9,721011,h2h,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,85.0
10,721011,goals,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,25.0
11,721011,goals,away,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,75.0
12,721011,total,home,543,Real Betis,https://media.api-sports.io/football/teams/543.png,37.5
