,fix_id,team_id,team_name,local,player_id,player_name,player_photo,minutos_jogados,player_position,player_grade,foi_substituido,impedimentos,chutes,chutes_no_gol,gols,gols_sofridos,assistencias,defesas_no_gol,passes,acuracia_passes,desarmes_cedidos,desarmes_executado,divididas,divididas_vencidas,dribles_executados,dribles_sofridos,faltas_sofridas,faltas_cometidas,cartao_amarelo,cartao_vermelho,penalti_sofrido,penalti_cometido,penalti_convertido,penalti_perdido,penalti_defendido
0,720739,542,Alaves,CASA,47352,Fernando Pacheco,https://media.api-sports.io/football/players/47352.png,90.0,G,6.0,False,0,,,0,4,0,4,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,720739,542,Alaves,CASA,47354,Martín Aguirregabiria,https://media.api-sports.io/football/players/47354.png,90.0,D,6.6,False,0,,,0,0,0,0,38,25,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0
2,720739,542,Alaves,CASA,47357,Víctor Laguardia,https://media.api-sports.io/football/players/47357.png,90.0,D,6.0,False,0,,,0,0,0,0,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,720739,542,Alaves,CASA,18895,Florian Lejeune,https://media.api-sports.io/football/players/18895.png,90.0,D,6.7,False,0,,,0,0,0,0,44,41,3,1,4,1,0,1,0,1,0,0,0,0,0,0,0
4,720739,542,Alaves,CASA,47355,Rubén Duarte,https://media.api-sports.io/football/players/47355.png,90.0,D,6.3,False,0,,,0,0,0,0,37,30,0,2,8,5,0,2,2,0,0,0,0,0,0,0,0
5,720739,542,Alaves,CASA,47365,Tomás Pina,https://media.api-sports.io/football/players/47365.png,82.0,M,6.5,False,0,,,0,0,0,0,48,46,0,1,6,2,0,1,1,3,0,0,0,0,0,0,0
6,720739,542,Alaves,CASA,47518,Pere Pons,https://media.api-sports.io/football/players/47518.png,59.0,M,6.2,False,0,1.0,,0,0,0,0,19,17,0,2,5,0,0,1,0,1,0,0,0,0,0,0,0
7,720739,542,Alaves,CASA,46933,Luis Rioja,https://media.api-sports.io/football/players/46933.png,68.0,M,6.2,False,0,2.0,1.0,0,0,0,0,17,13,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0
8,720739,542,Alaves,CASA,22146,Manu García,https://media.api-sports.io/football/players/22146.png,59.0,M,6.7,False,0,,,0,0,0,0,39,37,0,2,11,4,1,1,2,3,1,0,0,0,0,0,0
9,720739,542,Alaves,CASA,35575,Edgar Méndez,https://media.api-sports.io/football/players/35575.png,68.0,M,6.7,False,1,1.0,,0,0,0,0,8,6,0,0,7,3,0,2,1,2,0,0,0,0,0,0,0
10,720739,542,Alaves,CASA,18907,Joselu,https://media.api-sports.io/football/players/18907.png,90.0,F,7.0,False,0,1.0,1.0,1,0,0,0,32,20,0,0,15,9,0,2,1,2,0,0,0,0,1,0,0
11,720739,542,Alaves,CASA,47353,Antonio Sivera,https://media.api-sports.io/football/players/47353.png,,G,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,720739,542,Alaves,CASA,182636,Javi López,https://media.api-sports.io/football/players/182636.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,720739,542,Alaves,CASA,38,Alberto Rodríguez,https://media.api-sports.io/football/players/38.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,720739,542,Alaves,CASA,46789,Saúl García,https://media.api-sports.io/football/players/46789.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,720739,542,Alaves,CASA,46813,Abdelkabir Abqar,https://media.api-sports.io/football/players/46813.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,720739,542,Alaves,CASA,384,Mamadou Loum,https://media.api-sports.io/football/players/384.png,31.0,M,6.3,True,0,1.0,1.0,0,0,0,0,11,11,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0
17,720739,542,Alaves,CASA,1700,Iván Martín,https://media.api-sports.io/football/players/1700.png,22.0,M,6.3,True,0,,,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,720739,542,Alaves,CASA,47,Toni Moya,https://media.api-sports.io/football/players/47.png,8.0,M,6.3,True,0,,,0,0,0,0,12,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,720739,542,Alaves,CASA,70078,Facundo Pellistri,https://media.api-sports.io/football/players/70078.png,22.0,M,6.3,True,0,,,0,0,0,0,8,8,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0
20,720739,542,Alaves,CASA,47371,John Guidetti,https://media.api-sports.io/football/players/47371.png,31.0,F,6.9,True,0,1.0,1.0,0,0,0,0,8,5,0,0,3,2,0,1,1,0,0,0,1,0,0,0,0
21,720739,542,Alaves,CASA,18833,Lucas Pérez,https://media.api-sports.io/football/players/18833.png,,F,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,720739,542,Alaves,CASA,32871,Taichi Hara,https://media.api-sports.io/football/players/32871.png,,F,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,720739,541,Real Madrid,FORA,730,Thibaut Courtois,https://media.api-sports.io/football/players/730.png,90.0,G,6.5,False,0,,,0,1,0,3,24,17,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0
24,720739,541,Real Madrid,FORA,757,Lucas Vázquez,https://media.api-sports.io/football/players/757.png,90.0,D,7.0,False,0,,,0,0,0,0,60,55,1,2,5,3,1,1,1,1,0,0,0,0,0,0,0
25,720739,541,Real Madrid,FORA,372,Éder Militão,https://media.api-sports.io/football/players/372.png,90.0,D,6.3,False,0,,,0,0,0,0,62,54,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0
26,720739,541,Real Madrid,FORA,735,Nacho Fernández,https://media.api-sports.io/football/players/735.png,90.0,D,7.6,False,0,1.0,1.0,1,0,0,0,59,56,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0
27,720739,541,Real Madrid,FORA,505,David Alaba,https://media.api-sports.io/football/players/505.png,90.0,D,7.3,False,0,1.0,,0,0,1,0,59,51,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0
28,720739,541,Real Madrid,FORA,756,Federico Valverde,https://media.api-sports.io/football/players/756.png,88.0,M,7.3,False,0,2.0,,0,0,0,0,49,46,1,0,7,5,2,0,1,0,0,0,0,0,0,0,0
29,720739,541,Real Madrid,FORA,747,Casemiro,https://media.api-sports.io/football/players/747.png,90.0,M,7.6,False,0,,,0,0,0,0,71,61,1,2,17,8,2,1,3,3,0,0,0,0,0,0,0
30,720739,541,Real Madrid,FORA,754,Luka Modrić,https://media.api-sports.io/football/players/754.png,88.0,M,7.9,False,0,,,0,0,1,0,83,75,0,2,9,7,3,0,2,0,0,0,0,0,0,0,0
31,720739,541,Real Madrid,FORA,758,Gareth Bale,https://media.api-sports.io/football/players/758.png,68.0,F,6.9,False,1,3.0,1.0,0,0,0,0,12,8,0,1,4,1,0,0,0,1,1,0,0,0,0,0,0
32,720739,541,Real Madrid,FORA,759,Karim Benzema,https://media.api-sports.io/football/players/759.png,88.0,F,8.9,False,1,5.0,3.0,2,0,0,0,43,38,0,0,5,4,2,0,1,0,0,0,0,0,0,0,0
33,720739,541,Real Madrid,FORA,2296,Eden Hazard,https://media.api-sports.io/football/players/2296.png,66.0,F,7.5,False,0,1.0,,0,0,1,0,36,33,0,1,7,4,2,1,2,2,0,0,0,0,0,0,0
34,720739,541,Real Madrid,FORA,162533,Toni Fuidias,https://media.api-sports.io/football/players/162533.png,,G,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,720739,541,Real Madrid,FORA,47400,Andriy Lunin,https://media.api-sports.io/football/players/47400.png,,G,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,720739,541,Real Madrid,FORA,737,Álvaro Odriozola,https://media.api-sports.io/football/players/737.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,720739,541,Real Madrid,FORA,162032,Miguel Gutiérrez,https://media.api-sports.io/football/players/162032.png,,D,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,720739,541,Real Madrid,FORA,162686,Antonio Blanco,https://media.api-sports.io/football/players/162686.png,,M,,True,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
