,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
2,425579,65,SavedShot,0.8819999694824219,0.3320000076293945,0.07258376479148865,Sergi Canos,h,1078,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Bryan Mbeumo,Pass,2021-08-13,105.83999633789062,26.560000610351565,Brentford,Arsenal,Brentford,Arsenal
3,425565,11,ShotOnPost,0.9080000305175782,0.315,0.11829660832881927,Bryan Mbeumo,h,6552,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Ivan Toney,Throughball,2021-08-13,108.96000366210939,25.2,Brentford,Arsenal,Brentford,Arsenal
4,425569,29,MissedShots,0.8919999694824219,0.35700000762939454,0.08069062232971191,Bryan Mbeumo,h,6552,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kristoffer Ajer,Chipped,2021-08-13,107.03999633789063,28.560000610351565,Brentford,Arsenal,Brentford,Arsenal
23,425583,75,MissedShots,0.8919999694824219,0.67,0.09100586175918579,Kieran Tierney,a,8089,OpenPlay,2021,LeftFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Emile Smith-Rowe,Throughball,2021-08-13,107.03999633789063,53.6,Arsenal,Brentford,Arsenal,Brentford
83,425566,15,MissedShots,0.8469999694824218,0.3120000076293945,0.02556590735912323,Calum Chambers,a,508,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Kieran Tierney,Cross,2021-08-13,101.63999633789062,24.96000061035156,Arsenal,Brentford,Arsenal,Brentford
84,425580,66,BlockedShot,0.8119999694824219,0.34299999237060547,0.03622644394636154,Calum Chambers,a,508,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Granit Xhaka,Pass,2021-08-13,97.43999633789065,27.439999389648438,Arsenal,Brentford,Arsenal,Brentford
0,425567,21,Goal,0.874000015258789,0.6980000305175781,0.05214472487568855,Sergi Canos,h,1078,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Ethan Pinnock,BallRecovery,2021-08-13,104.88000183105468,55.84000244140624,Brentford,Arsenal,Brentford,Arsenal
1,425568,27,MissedShots,0.8119999694824219,0.4779999923706055,0.06570620089769363,Sergi Canos,h,1078,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Frank Onyeka,Pass,2021-08-13,97.43999633789065,38.23999938964844,Brentford,Arsenal,Brentford,Arsenal
32,425578,64,MissedShots,0.965999984741211,0.5670000076293945,0.12124115228652954,Gabriel Martinelli,a,7752,FromCorner,2021,Head,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,Nicolas Pepe,Cross,2021-08-13,115.91999816894531,45.360000610351555,Arsenal,Brentford,Arsenal,Brentford
1,425572,37,MissedShots,0.825,0.7480000305175781,0.01919219270348549,Folarin Balogun,a,9690,OpenPlay,2021,RightFoot,16376,Brentford,Arsenal,2,0,2021-08-13 19:00:00,,BallTouch,2021-08-13,99.0,59.84000244140625,Arsenal,Brentford,Arsenal,Brentford
