,player_name,player_id,understat_id
0,David Raya,19465,9676
1,Kristoffer Ajer,1119,9677
2,Pontus Jansson,19124,1801
3,Ethan Pinnock,19789,9678
5,Frank Onyeka,15799,9681
6,Christian Nørgaard,30407,7083
7,Vitaly Janelt,25073,9680
8,Rico Henry,19346,9679
9,Bryan Mbeumo,20589,6552
10,Ivan Toney,19974,998
12,Mads Bidstrup,162189,9682
13,Marcus Forss,19363,9684
14,Bernd Leno,1438,181
15,Calum Chambers,19016,508
16,Ben White,19959,7298
17,Pablo Marí,46792,8380
18,Kieran Tierney,1117,8089
19,Albert Sambi Lokonga,1427,9689
20,Granit Xhaka,1464,204
23,Gabriel Martinelli,127769,7752
24,Folarin Balogun,138835,9690
25,Nuno Tavares,41577,9691
26,Bukayo Saka,1460,7322
27,Reiss Nelson,727,6492
28,Nick Pope,18911,5552
29,Matthew Lowton,18916,1652
30,James Tarkowski,2936,1665
31,Ben Mee,18917,1654
32,Charlie Taylor,18918,6044
34,Ashley Westwood,18926,669
35,Jack Cork,18922,712
36,Dwight McNeil,18929,6756
37,Chris Wood,18931,4456
38,Jay Rodriguez,19169,844
39,Josh Brownhill,19268,8323
41,Ashley Barnes,18927,4422
43,Adam Webster,19265,7699
44,Shane Duffy,18962,6047
45,Lewis Dunk,18963,6048
46,Pascal Groß,18970,239
47,Steven Alzate,17715,8020
48,Solly March,18973,6049
49,Enock Mwepu,1093,9734
50,Yves Bissouma,18968,5609
51,Leandro Trossard,1946,7698
52,Neal Maupay,19364,3621
53,Jakub Moder,40911,9284
54,Alexis Mac Allister,6716,8379
55,Adam Lallana,295,486
56,Edouard Mendy,2986,6880
57,Trevoh Chalobah,19720,6615
58,Andreas Christensen,2282,200
59,Antonio Rüdiger,2285,1822
60,César Azpilicueta,2280,681
61,Jorginho,2289,1389
63,Marcos Alonso,2278,1621
64,Mason Mount,19220,7768
66,Timo Werner,1166,65
67,Reece James,19545,8067
68,Kai Havertz,978,5220
69,Vicente Guaita,18835,2190
70,Joel Ward,18847,510
71,Cheikhou Kouyaté,2991,532
73,Tyrick Mitchell,182201,8214
74,Jordan Ayew,3428,672
76,James McArthur,18849,633
77,Jeffrey Schlupp,18843,757
78,Wilfried Zaha,3247,522
79,Jean-Philippe Mateta,25927,5735
80,Joachim Andersen,2729,6314
81,Jesurun Rak-Sakyi,284449,9461
82,Christian Benteke,2928,606
83,Jordan Pickford,2932,741
85,Mason Holgate,19150,985
86,Michael Keane,2934,1653
87,Lucas Digne,2724,1823
88,Allan,326,1379
89,Abdoulaye Doucouré,18805,1726
90,Andros Townsend,18854,775
91,Demarai Gray,18781,762
92,Richarlison,2413,6026
93,Dominic Calvert-Lewin,18766,5555
94,Yerry Mina,2484,6521
95,Alex Iwobi,1455,500
96,Alex McCarthy,18935,635
97,Valentino Livramento,158694,9512
98,Jack Stephens,18940,1735
99,Mohammed Salisu,47480,6923
100,Romain Perraud,20600,6500
101,Theo Walcott,18769,503
102,James Ward-Prowse,2938,843
103,Oriol Romeu,18949,842
104,Moussa Djenepo,2114,7701
105,Che Adams,19524,7700
106,Adam Armstrong,19484,4419
107,Ibrahima Diallo,20557,6736
108,Nathan Redmond,18948,790
109,Nathan Tella,231029,8456
110,Kasper Schmeichel,2728,745
111,Ricardo Pereira,18771,3303
112,Daniel Amartey,3421,759
114,Luke Thomas,152969,8562
115,Youri Tielemans,2926,5956
116,Wilfred Ndidi,18786,5545
117,Ayoze Pérez,18906,770
118,James Maddison,18784,6818
119,Harvey Barnes,18778,6681
120,Jamie Vardy,18788,755
121,Jannik Vestergaard,18943,111
123,Kelechi Iheanacho,2778,620
124,José Sá,1590,9740
125,Max Kilman,18744,7332
126,Conor Coady,18741,6851
128,Ki-Jana Hoever,285,8351
129,Rúben Neves,2676,6853
130,João Moutinho,2677,3422
