,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
943,425533,11,BlockedShot,0.874000015258789,0.5429999923706055,0.020128345116972923,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Josip Stanisic,Aerial,2021-08-13,104.88000183105468,43.439999389648435,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
284,425537,26,MissedShots,0.8330000305175781,0.47,0.07023106515407562,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Pass,2021-08-13,99.96000366210937,37.599999999999994,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
18,425549,57,SavedShot,0.9230000305175782,0.42900001525878906,0.4672015607357025,Alphonso Davies,a,7345,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Serge Gnabry,Aerial,2021-08-13,110.76000366210938,34.32000122070312,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
285,425544,47,SavedShot,0.8019999694824219,0.32,0.012912072241306305,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial,2021-08-13,96.23999633789062,25.6,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
286,425546,52,MissedShots,0.8159999847412109,0.33799999237060546,0.028160762041807175,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Chipped,2021-08-13,97.9199981689453,27.03999938964844,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
508,425532,9,Goal,0.8780000305175781,0.5570000076293945,0.3845338523387909,Alassane Pléa,h,3310,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Lars Stindl,Pass,2021-08-13,105.36000366210938,44.560000610351565,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
168,425531,3,MissedShots,0.8219999694824218,0.4879999923706055,0.06582623720169067,Patrick Herrmann,h,420,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alassane Pléa,Pass,2021-08-13,98.63999633789061,39.039999389648436,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
224,425559,86,MissedShots,0.855999984741211,0.33599998474121096,0.053393568843603134,Kingsley Coman,a,226,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jamal Musiala,Pass,2021-08-13,102.71999816894532,26.879998779296876,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
48,425558,85,MissedShots,0.9130000305175782,0.485,0.042474519461393356,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,BallTouch,2021-08-13,109.56000366210938,38.800000000000004,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
0,425561,89,BlockedShot,0.830999984741211,0.639000015258789,0.051320724189281464,Keanan Bennetts,h,7832,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,BallRecovery,2021-08-13,99.71999816894531,51.120001220703124,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
47,425552,62,MissedShots,0.9209999847412109,0.3659999847412109,0.019538220018148422,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross,2021-08-13,110.5199981689453,29.27999877929687,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
60,425535,22,MissedShots,0.9009999847412109,0.514000015258789,0.08137396723031998,Nico Elvedi,h,212,SetPiece,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None,2021-08-13,108.1199981689453,41.12000122070312,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
134,425562,94,MissedShots,0.860999984741211,0.515,0.1023261696100235,Joshua Kimmich,a,223,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Kingsley Coman,Pass,2021-08-13,103.3199981689453,41.2,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
381,425538,29,MissedShots,0.7480000305175781,0.7130000305175781,0.018638793379068375,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,BallRecovery,2021-08-13,89.76000366210937,57.04000244140626,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
382,425553,69,SavedShot,0.805,0.5209999847412109,0.053122665733098984,Lars Stindl,h,208,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Marcus Thuram,BallTouch,2021-08-13,96.6,41.679998779296874,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
383,425556,80,MissedShots,0.95,0.5320000076293945,0.6226253509521484,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jonas Hofmann,Pass,2021-08-13,113.99999999999999,42.56000061035156,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
280,425539,31,BlockedShot,0.9159999847412109,0.485,0.047556713223457336,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial,2021-08-13,109.91999816894531,38.800000000000004,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
281,425557,84,BlockedShot,0.955999984741211,0.5129999923706055,0.13664980232715607,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross,2021-08-13,114.71999816894531,41.03999938964844,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
282,425560,87,BlockedShot,0.87,0.3820000076293945,0.06547729671001434,Leon Goretzka,a,335,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None,2021-08-13,104.4,30.560000610351562,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
156,425548,54,SavedShot,0.9259999847412109,0.28700000762939454,0.032129187136888504,Florian Neuhaus,h,7065,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Cross,2021-08-13,111.11999816894532,22.96000061035156,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
16,425554,70,SavedShot,0.8280000305175781,0.6229999923706054,0.03864584490656853,Hannes Wolf,h,8171,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Nico Elvedi,Pass,2021-08-13,99.36000366210938,49.83999938964844,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
40,425547,53,MissedShots,0.925,0.44299999237060544,0.08290912955999374,Stefan Lainer,h,7831,SetPiece,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Chipped,2021-08-13,111.00000000000001,35.439999389648435,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
230,425555,76,MissedShots,0.9440000152587891,0.509000015258789,0.5566394925117493,Marcus Thuram,h,5992,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Stefan Lainer,Cross,2021-08-13,113.28000183105469,40.720001220703125,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach,Bayern Munich
3,425540,36,SavedShot,0.9159999847412109,0.35700000762939454,0.29199498891830444,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass,2021-08-13,109.91999816894531,28.560000610351565,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
2,425541,36,SavedShot,0.9540000152587891,0.4179999923706055,0.12101253122091293,Josip Stanisic,a,9458,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Rebound,2021-08-13,114.4800018310547,33.439999389648435,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
948,425550,59,SavedShot,0.9059999847412109,0.4929999923706055,0.09687963873147964,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None,2021-08-13,108.71999816894531,39.43999938964844,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
947,425545,51,SavedShot,0.9159999847412109,0.5420000076293945,0.3319125771522522,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leroy Sané,Cross,2021-08-13,109.91999816894531,43.360000610351555,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
946,425543,41,Goal,0.9169999694824219,0.42900001525878906,0.22590681910514832,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross,2021-08-13,110.03999633789063,34.32000122070312,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
4,425542,41,MissedShots,0.855999984741211,0.4259999847412109,0.06867692619562149,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass,2021-08-13,102.71999816894532,34.07999877929688,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
945,425536,25,SavedShot,0.9469999694824218,0.47200000762939454,0.5879690051078796,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Throughball,2021-08-13,113.63999633789064,37.76000061035156,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
331,425551,60,MissedShots,0.919000015258789,0.505,0.11167085915803909,Serge Gnabry,a,993,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Niklas Süle,Cross,2021-08-13,110.28000183105469,40.4,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
944,425534,13,SavedShot,0.85,0.44299999237060544,0.05120028927922249,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leon Goretzka,HeadPass,2021-08-13,102.0,35.439999389648435,Bayern Munich,Borussia M.Gladbach,Bayern Munich,Borussia Monchengladbach
15,425779,37,BlockedShot,0.955999984741211,0.305,0.046000104397535324,Woo-Yeong Jeong,a,7267,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,Rebound,2021-08-14,114.71999816894531,24.4,Freiburg,Arminia Bielefeld,SC Freiburg,Arminia Bielefeld
27,425776,30,ShotOnPost,0.9290000152587891,0.5790000152587891,0.3370426297187805,Nico Schlotterbeck,a,7485,SetPiece,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Vincenzo Grifo,Cross,2021-08-14,111.4800018310547,46.320001220703126,Freiburg,Arminia Bielefeld,SC Freiburg,Arminia Bielefeld
