,player_name,player_id,understat_id
0,Yann Sommer,2802,199
1,Stefan Lainer,1082,7831
2,Matthias Ginter,2915,315
3,Nico Elvedi,2803,212
5,Christoph Kramer,25637,187
6,Florian Neuhaus,25638,7065
7,Patrick Herrmann,25644,420
8,Lars Stindl,25639,208
9,Hannes Wolf,1103,8171
10,Alassane Pléa,25646,3310
11,Keanan Bennetts,25641,7832
12,Jonas Hofmann,25635,320
13,Marcus Thuram,21509,5992
14,Manuel Neuer,497,217
17,Niklas Süle,506,75
18,Alphonso Davies,509,7345
19,Joshua Kimmich,502,223
20,Leon Goretzka,511,335
21,Leroy Sané,644,337
22,Thomas Müller,522,224
23,Serge Gnabry,510,993
24,Robert Lewandowski,521,227
25,Bouna Sarr,1915,3393
26,Kingsley Coman,508,226
27,Jamal Musiala,181812,8418
28,Eric Maxim Choupo-Moting,275,339
29,Gregor Kobel,25282,5288
30,Felix Passlack,19068,2663
31,Axel Witsel,20,3059
32,Manuel Akanji,5,6490
33,Nico Schulz,721,433
34,Jude Bellingham,129718,8824
35,Mahmoud Dahoud,14,205
36,Thorgan Hazard,2929,213
37,Giovanni Reyna,161921,8191
38,Marco Reus,25,319
40,Antonios Papadopoulos,26626,9750
41,Thomas Delaney,15,5230
42,Donyell Malen,249,9749
43,Kevin Trapp,1800,3286
44,Stefan Ilsanker,1154,5242
45,Martin Hinteregger,1805,2668
47,Danny da Costa,1812,249
48,Djibril Sow,957,2624
49,Makoto Hasebe,1819,282
51,Daichi Kamada,2601,6145
52,Aymen Barkok,25455,5235
55,Christopher Lenz,24841,7876
57,Ragnar Ache,37439,8869
58,Jens Petter Hauge,39073,8974
59,Koen Casteels,2918,159
60,Kevin Mbabu,946,983
61,Maxence Lacroix,20995,8853
62,John Brooks,25397,22
63,Jérôme Roussillon,25404,3339
64,Xaver Schlager,1095,7783
65,Maximilian Arnold,25408,153
67,Maximilian Philipp,24,4247
68,Renato Steffen,2809,6484
69,Wout Weghorst,25416,7052
70,Yannick Gerhardt,25400,140
71,Josuha Guilavogui,25410,150
72,Admir Mehmedi,2808,194
73,Omar Marmoush,81573,8393
74,Manuel Riemann,25058,9702
75,Cristian Gamboa,1109,855
77,Maxim Leitsch,25066,9703
78,Danilo Soares,25067,247
79,Anthony Losilla,25074,9705
80,Robert Tesche,25078,9706
82,Takuma Asano,25375,6087
83,Simon Zoller,25084,139
84,Christopher Antwi-Adjei,24815,7798
85,Herbert Bockhorn,119158,9708
87,Andreas Luthe,25284,5260
88,Christopher Trimmel,24848,7875
89,Marvin Friedrich,24839,370
90,Robin Knoche,25403,161
91,Timo Baumgartl,26297,71
93,Genki Haraguchi,25379,35
94,Rani Khedira,25300,5251
95,Marcus Ingvartsen,1941,7883
96,Taiwo Awoniyi,8598,7814
97,Max Kruse,25329,155
98,Julian Ryerson,24845,7997
99,Levin Öztunali,25922,118
100,Andreas Voglsammer,25030,9128
101,Kevin Behrens,25192,9712
102,Cedric Teuchert,425,6522
104,Jeremie Frimpong,152654,9328
105,Odilon Kossounou,48119,9714
106,Jonathan Tah,972,183
107,Mitchel Bakker,530,8310
108,Exequiel Palacios,6002,8325
109,Charles Aránguiz,974,454
110,Moussa Diaby,277,6556
111,Kerem Demirbay,717,5273
112,Nadiem Amiri,714,82
113,Patrik Schick,794,1236
114,Paulinho,987,7067
115,Florian Müller,25905,5328
116,Konstantinos Mavropanos,1445,6722
117,Waldemar Anton,25368,106
118,Marc-Oliver Kempf,26301,4291
119,Roberto Massimo,25026,8806
120,Atakan Karazor,24963,8878
121,Wataru Endo,8500,8808
122,Borna Sosa,26303,7075
123,Philipp Förster,25183,9076
124,Mateo Klimowicz,5795,8809
125,Hamadi Al Ghaddioui,24994,8810
126,Philipp Klement,24825,409
127,Erik Thommy,26311,2676
128,Daniel Didavi,26307,300
129,Sascha Burchert,25141,2670
130,Gideon Jung,24867,168
131,Maximilian Bauer,25144,9716
132,Justin Hoogma,24924,6678
134,Nils Seufert,25018,8797
135,Paul Seguin,25161,2625
136,Julian Green,25165,4323
137,Gian-Luca Itter,25401,5300
138,Håvard Nielsen,25277,5269
139,Branimir Hrgota,1827,216
140,Adrian Fein,24987,8976
