,player_name,player_id,understat_id
1,Lorenzo De Silvestri,30498,1193
2,Gary Medel,1982,1510
3,Kevin Bonifazi,30853,3951
4,Aaron Hickey,44871,8942
5,Jerdy Schouten,37890,7933
6,Nicolás Domínguez,6056,8252
7,Riccardo Orsolini,30488,6160
8,Roberto Soriano,30483,1810
9,Musa Barrow,30437,6512
11,Mattias Svanberg,30484,6974
12,Emanuel Vignato,30755,4943
13,Andreas Skov Olsen,15916,7934
14,Nicola Sansone,30490,1826
15,Sydney van Hooijdonk,38713,9862
16,Vid Belec,30442,1908
17,Norbert Gyömbér,31389,1599
18,Stefan Strandberg,53630,3014
20,Wajdi Kechrida,2954,9863
21,Mamadou Coulibaly,31236,4903
22,Lassana Coulibaly,1748,3334
23,Leonardo Capezzi,31053,1358
24,Matteo Ruggeri,162012,8872
25,Federico Bonazzoli,31436,2019
27,Nadir Zortea,128461,9866
28,Luka Bogdan,30951,9864
29,Andrea Schiavone,31369,9865
30,Joel Obi,49938,1190
31,Simy,31003,1362
32,Alessio Cragno,30546,3927
33,Sebastian Walukiewicz,40582,8030
34,Diego Godín,32,2264
35,Andrea Carboni,193270,8232
36,Nahitan Nández,2614,7953
38,Kevin Strootman,1916,1256
39,Dalbert,192,5699
40,João Pedro,30562,1592
41,Alessandro Deiola,30561,1634
42,Leonardo Pavoletti,30573,1104
43,Luca Ceppitelli,30549,1550
44,Charalampos Lykogiannis,30553,6517
45,Gabriele Zappa,200,8857
46,Gastón Pereiro,237,8289
47,Giovanni Simeone,30414,1102
48,Jeroen Zoet,224,8908
49,Petko Hristov,31258,6175
51,Dimitris Nikolaou,31045,7387
53,Simone Bastoni,30687,8916
54,Giulio Maggiore,30836,8944
55,Salvador Ferrer,47217,8914
56,Daniele Verde,47500,2044
57,Emmanuel Gyasi,30845,8913
58,Ebrima Colley,140847,8161
59,Luca Vignali,30840,8915
60,Samuel Mráz,30999,6985
61,Guglielmo Vicario,31354,8858
63,Ardian Ismajli,14329,9090
64,Simone Romagnoli,31136,1971
65,Riccardo Marchizza,30981,1601
66,Nicolas Haas,31555,6161
67,Samuele Ricci,31056,7530
68,Filippo Bandinelli,30624,9850
69,Nedim Bajrami,48577,9851
70,Leonardo Mancuso,31503,9852
71,Patrick Cutrone,1649,4918
72,Riccardo Fiamozzi,31724,1105
73,Giovanni Crociata,31237,6169
74,Liam Henderson,30932,7925
76,Andrea La Mantia,31743,7972
78,Manuel Lazzari,30866,6180
79,Luiz Felipe,1847,6177
80,Francesco Acerbi,1836,1463
81,Elseid Hysaj,317,1375
83,Lucas Leiva,1858,475
85,Pedro,2299,687
86,Ciro Immobile,1863,1209
87,Felipe Anderson,2412,1208
88,Luis Alberto,1859,1219
89,André Anderson,31688,7941
90,Gonzalo Escalante,47388,2437
92,Vedat Muriqi,50048,9002
93,Ivor Pandur,14268,8830
95,Koray Günter,30772,7092
96,Federico Ceccherini,30397,1370
97,Nicolò Casale,31099,8829
98,Martin Hongla,63542,5103
99,Miguel Veloso,30781,1098
102,Mattia Zaccagni,30937,1958
104,Giangiacomo Magnani,30526,7002
106,Adrien Tameze,22174,5996
107,Matteo Cancellieri,286474,9071
108,Samuel Di Carmine,30939,8035
109,Andrea Consigli,30516,1460
110,Jeremy Toljan,1118,257
114,Davide Frattesi,31173,4981
117,Giacomo Raspadori,30543,7500
119,Francesco Caputo,31060,6980
121,Francesco Magnanelli,30534,1466
125,Stefan de Vrij,194,1541
126,Alessandro Bastoni,31009,4939
127,Matteo Darmian,887,557
128,Nicolò Barella,30558,1409
132,Stefano Sensi,30535,1465
134,Denzel Dumfries,226,9840
135,Federico Dimarco,31010,1324
136,Matías Vecino,211,1423
137,Arturo Vidal,151,222
138,Martín Satriano,286350,9001
139,Salvatore Sirigu,30495,3301
140,Davide Biraschi,30769,1114
141,Zinho Vanheusden,2107,4897
142,Domenico Criscito,30771,3065
143,Stefano Sturaro,30786,1296
145,Milan Badelj,1850,1430
146,Andrea Cambiaso,127011,9841
147,Hernani,1208,5509
148,Yayah Kallon,315026,9550
149,Goran Pandev,30791,1115
150,Laurens Serpe,264485,9842
151,Stefano Sabelli,31137,1898
152,Filippo Melegoni,31493,4959
153,Andrea Favilli,30788,1997
155,Alex Meret,312,1892
156,Giovanni Di Lorenzo,31042,6978
158,Kalidou Koulibaly,318,1376
159,Mário Rui,322,1792
161,Stanislav Lobotka,47439,6125
163,Matteo Politano,219,1473
164,Victor Osimhen,2780,5322
165,Lorenzo Insigne,331,1393
166,Eljif Elmas,1358,7912
167,Gianluca Gaetano,325,7507
168,Hirving Lozano,248,7999
169,Andrea Petagna,30879,1493
170,Niki Mäenpää,19256,6053
171,Tyronne Ebuehi,561,9877
172,Mattia Caldara,1628,1486
173,Pietro Ceccaroni,31415,9878
174,Cristian Molinaro,31075,1597
175,Dor Peretz,56011,9880
176,Luca Fiordilino,31554,9881
177,Daan Heymans,8845,9879
178,Dennis Johnsen,36986,9882
179,Francesco Forte,8737,9883
180,Francesco Di Mariano,31376,9884
181,Michael Svoboda,7090,9887
182,Jacopo Dezi,31019,2005
184,Tanner Tessmann,80752,9885
185,Nicolas Galazzi,280938,9886
186,Rui Patrício,2674,6849
187,Rick Karsdorp,770,6362
188,Gianluca Mancini,30425,6159
191,Bryan Cristante,778,1168
192,Jordan Veretout,30409,677
194,Lorenzo Pellegrini,782,1471
195,Henrikh Mkhitaryan,1457,317
196,Tammy Abraham,19194,702
197,Edoardo Bove,286475,9518
198,Eldor Shomurodov,53535,5954
199,Stephan El Shaarawy,791,1252
200,Carles Pérez,67955,7609
202,Lorenzo Venuti,31730,6191
205,Cristiano Biraghi,30396,1164
206,Giacomo Bonaventura,1638,1121
207,Erick Pulgar,2560,1448
208,Youssef Maleh,56560,9893
209,José Callejón,330,1382
211,Nicolás González,26315,7074
212,Pietro Terracciano,30394,6977
213,Riccardo Saponara,30456,1313
214,Gaetano Castrovilli,31615,7909
215,Marco Benassi,30403,1183
216,Riccardo Sottil,31507,6672
217,Emil Audero,30441,1302
219,Maya Yoshida,18944,845
220,Omar Colley,30444,7096
221,Tommaso Augello,30822,7938
222,Antonio Candreva,202,1517
223,Morten Thorsby,36980,7939
224,Albin Ekdal,2858,411
225,Mikkel Damsgaard,15908,8859
226,Manolo Gabbiadini,30462,1383
227,Fabio Quagliarella,30463,1230
228,Nicola Murru,30447,1400
229,Adrien Silva,114,6464
230,Valerio Verre,31403,1569
231,Mike Maignan,22221,3737
232,Davide Calabria,1627,1574
234,Fikayo Tomori,19209,703
235,Theo Hernández,47300,2547
236,Sandro Tonali,31146,7958
238,Alexis Saelemaekers,1417,8297
240,Rafael Leão,22236,7193
241,Olivier Giroud,2295,502
242,Alessandro Florenzi,769,1254
246,Koffi Djidji,30499,3550
247,Bremer,30497,6960
248,Ricardo Rodríguez,1631,308
251,Rolando Mandragora,30810,3821
252,Ola Aina,2771,725
253,Karol Linetty,3009,1226
254,Antonio Sanabria,2522,2217
255,Marko Pjaca,30413,1577
256,Armando Izzo,30501,1096
257,Tomás Rincón,2452,1099
258,Simone Verdi,334,1445
259,Andrea Belotti,30509,1186
260,Juan Musso,2465,7095
