,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,data,X_adj,Y_adj,team_name,opposing_team_name,team_name_base,opposing_team_name_base
91,425593,4,MissedShots,0.9519999694824218,0.514000015258789,0.09931506961584091,Nemanja Maksimovic,a,6076,FromCorner,2021,Head,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,None,2021-08-13,114.23999633789062,41.12000122070312,Getafe,Valencia,Getafe,Valencia
197,425604,46,MissedShots,0.904000015258789,0.41,0.07385607808828354,Enes Ünal,a,6219,OpenPlay,2021,LeftFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Sandro Ramírez,Cross,2021-08-13,108.48000183105468,32.8,Getafe,Valencia,Getafe,Valencia
196,425596,18,MissedShots,0.7619999694824219,0.5220000076293946,0.0840577632188797,Enes Ünal,a,6219,DirectFreekick,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,Standard,2021-08-13,91.43999633789063,41.76000061035157,Getafe,Valencia,Getafe,Valencia
94,425615,92,SavedShot,0.8780000305175781,0.5720000076293945,0.06994566321372986,Nemanja Maksimovic,a,6076,SetPiece,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,None,2021-08-13,105.36000366210938,45.76000061035156,Getafe,Valencia,Getafe,Valencia
195,425595,16,BlockedShot,0.87,0.7319999694824219,0.03710366040468216,Enes Ünal,a,6219,OpenPlay,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Mathías Olivera,Pass,2021-08-13,104.4,58.55999755859374,Getafe,Valencia,Getafe,Valencia
93,425609,72,MissedShots,0.8109999847412109,0.5179999923706055,0.036770887672901154,Nemanja Maksimovic,a,6076,FromCorner,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,BallTouch,2021-08-13,97.3199981689453,41.439999389648435,Getafe,Valencia,Getafe,Valencia
92,425599,26,MissedShots,0.73,0.5029999923706054,0.008962557651102543,Nemanja Maksimovic,a,6076,OpenPlay,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Mathías Olivera,Chipped,2021-08-13,87.6,40.23999938964844,Getafe,Valencia,Getafe,Valencia
148,425608,69,MissedShots,0.845,0.4279999923706055,0.0662049725651741,Mauro Arambarri,a,3264,SetPiece,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Marc Cucurella,Pass,2021-08-13,101.39999999999998,34.23999938964844,Getafe,Valencia,Getafe,Valencia
149,425611,80,ShotOnPost,0.855999984741211,0.39099998474121095,0.07011579722166061,Mauro Arambarri,a,3264,OpenPlay,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Vitolo,Pass,2021-08-13,102.71999816894532,31.279998779296875,Getafe,Valencia,Getafe,Valencia
150,425614,89,MissedShots,0.7140000152587891,0.29100000381469726,0.017788643017411232,Mauro Arambarri,a,3264,FromCorner,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Djené Dakonam,Pass,2021-08-13,85.68000183105468,23.280000305175783,Getafe,Valencia,Getafe,Valencia
147,425607,66,MissedShots,0.735999984741211,0.54,0.013404934667050838,Mauro Arambarri,a,3264,FromCorner,2021,LeftFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,Aerial,2021-08-13,88.31999816894532,43.2,Getafe,Valencia,Getafe,Valencia
146,425602,37,BlockedShot,0.6890000152587891,0.46900001525878904,0.013960616663098335,Mauro Arambarri,a,3264,OpenPlay,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Nemanja Maksimovic,Pass,2021-08-13,82.68000183105468,37.52000122070312,Getafe,Valencia,Getafe,Valencia
171,425598,25,MissedShots,0.8830000305175781,0.43900001525878907,0.38949596881866455,Carlos Soler,h,2478,OpenPlay,2021,LeftFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,Thierry Correia,Pass,2021-08-13,105.96000366210939,35.12000122070313,Valencia,Getafe,Valencia,Getafe
151,425618,97,BlockedShot,0.785,0.3060000038146973,0.06862183660268784,Mauro Arambarri,a,3264,DirectFreekick,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,Standard,2021-08-13,94.20000000000002,24.480000305175782,Getafe,Valencia,Getafe,Valencia
170,425594,10,Goal,0.885,0.5,0.7432776093482971,Carlos Soler,h,2478,Penalty,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,Standard,2021-08-13,106.2,40.0,Valencia,Getafe,Valencia,Getafe
79,425597,20,SavedShot,0.755,0.5670000076293945,0.07394056767225266,Damián Suárez,a,2194,DirectFreekick,2021,RightFoot,17136,Valencia,Getafe,1,0,2021-08-13 19:00:00,,Standard,2021-08-13,90.60000000000001,45.360000610351555,Getafe,Valencia,Getafe,Valencia
