,player_name,player_id,understat_id
0,Fernando Pacheco,47352,5042
1,Martín Aguirregabiria,47354,5198
2,Víctor Laguardia,47357,5044
3,Florian Lejeune,18895,5073
4,Rubén Duarte,47355,2110
5,Tomás Pina,47365,2482
6,Pere Pons,47518,6117
7,Luis Rioja,46933,7870
8,Manu García,22146,906
9,Edgar Méndez,35575,2088
10,Joselu,18907,866
11,Mamadou Loum,384,9774
12,Iván Martín,1700,7529
14,Facundo Pellistri,70078,9324
15,John Guidetti,47371,2287
16,Thibaut Courtois,730,680
17,Lucas Vázquez,757,2253
20,David Alaba,505,391
21,Federico Valverde,756,6241
22,Casemiro,747,2248
24,Gareth Bale,758,2251
25,Karim Benzema,759,2370
26,Eden Hazard,2296,701
27,Rodrygo,10009,8015
28,Vinícius Júnior,762,7008
29,Neto,912,1297
30,Sergiño Dest,38735,8979
32,Gerard Piqué,136,2092
33,Jordi Alba,128,2093
34,Frenkie de Jong,538,7781
35,Sergio Busquets,144,2095
36,Pedri,133609,8935
37,Antoine Griezmann,56,2270
38,Memphis Depay,667,555
39,Martin Braithwaite,2737,3211
40,Sergi Roberto,137,2104
42,Ronald Araújo,101814,8091
46,Aritz Elustondo,47298,2228
47,Robin Le Normand,47301,7276
48,Aihen Muñoz,47303,7306
49,Mikel Merino,47311,5304
50,Martín Zubimendi,47315,7526
51,Adnan Januzaj,2924,323
52,David Silva,634,617
53,Mikel Oyarzabal,47323,2234
54,Portu,47520,6118
55,Andoni Gorosabel,47299,6325
56,Jon Pacheco Dozagarat,182546,8423
57,Julen Lobete,182602,8284
58,Jon Bautista,47318,2238
59,Ander Barrenetxea,47317,7308
60,Matías Dituro,11346,9793
61,Hugo Mallo,47432,2281
64,Javi Galán,47566,7385
65,Renato Tapia,2433,8710
66,Brais Méndez,47440,6227
67,Denis Suárez,1461,2308
68,Nolito,2058,1732
69,Iago Aspas,47445,2290
70,Santi Mina,934,2384
71,Franco Cervi,570,9794
73,Miguel Baeza,162212,8711
74,Augusto Solari,5921,9305
75,Jan Oblak,29,2261
78,Mario Hermoso,2669,6136
79,Geoffrey Kondogbia,926,1516
